<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AFLT;60;20210701;110000;68.6200000;68.8000000;68.1600000;68.3600000;1.539.490
AFLT;60;20210701;120000;68.3600000;68.4200000;68.1200000;68.3400000;633.330
AFLT;60;20210701;130000;68.3400000;68.4800000;68.2200000;68.2800000;593.230
AFLT;60;20210701;140000;68.3000000;68.7000000;68.2000000;68.4200000;895.240
AFLT;60;20210701;150000;68.4200000;68.5800000;68.2800000;68.3800000;498.810
AFLT;60;20210701;160000;68.3400000;68.4600000;68.1400000;68.3800000;657.610
AFLT;60;20210701;170000;68.3800000;68.5600000;68.3000000;68.5000000;358.390
AFLT;60;20210701;180000;68.4600000;68.6000000;68.3200000;68.3400000;323.160
AFLT;60;20210701;190000;68.3200000;68.5600000;68.3200000;68.4000000;368.730
AFLT;60;20210701;200000;68.4000000;68.6600000;68.2600000;68.4600000;173.050
AFLT;60;20210701;210000;68.4600000;68.5200000;68.3600000;68.4200000;102.780
AFLT;60;20210701;220000;68.5000000;68.5600000;68.3800000;68.5600000;86.830
AFLT;60;20210701;230000;68.5600000;68.6000000;68.4400000;68.5000000;158.600
AFLT;60;20210702;000000;68.5400000;68.6000000;68.5000000;68.5400000;124.850
AFLT;60;20210702;110000;68.5400000;68.8800000;68.2200000;68.7600000;1.646.770
AFLT;60;20210702;120000;68.7200000;68.8000000;68.4200000;68.4800000;660.870
AFLT;60;20210702;130000;68.4400000;68.7200000;68.4400000;68.6400000;315.330
AFLT;60;20210702;140000;68.6400000;68.7600000;68.5200000;68.6800000;300.290
AFLT;60;20210702;150000;68.6600000;68.7800000;68.5800000;68.6400000;426.630
AFLT;60;20210702;160000;68.6600000;68.8000000;68.6000000;68.7400000;467.090
AFLT;60;20210702;170000;68.7400000;68.7800000;68.5800000;68.5800000;299.560
AFLT;60;20210702;180000;68.5800000;68.7200000;68.5200000;68.6000000;445.250
AFLT;60;20210702;190000;68.6000000;68.7200000;68.5400000;68.7200000;444.290
AFLT;60;20210702;200000;68.7600000;68.7600000;68.6200000;68.6600000;87.950
AFLT;60;20210702;210000;68.6800000;68.7400000;68.6600000;68.7200000;87.680
AFLT;60;20210702;220000;68.7200000;68.7600000;68.6600000;68.7200000;102.150
AFLT;60;20210702;230000;68.7400000;68.7400000;68.6800000;68.6800000;87.320
AFLT;60;20210703;000000;68.7000000;68.7200000;68.5400000;68.5800000;188.640
AFLT;60;20210705;110000;68.6800000;69.4800000;68.6200000;69.2600000;3.221.950
AFLT;60;20210705;120000;69.2800000;69.3200000;69.2600000;69.2600000;639.970
AFLT;60;20210705;130000;69.2800000;69.2800000;69.0000000;69.1000000;905.250
AFLT;60;20210705;140000;69.0800000;69.2800000;69.0400000;69.2400000;256.280
AFLT;60;20210705;150000;69.2000000;69.2800000;69.1200000;69.1200000;321.840
AFLT;60;20210705;160000;69.1200000;69.1800000;69.0400000;69.0400000;144.830
AFLT;60;20210705;170000;69.0400000;69.1400000;69.0000000;69.0400000;424.840
AFLT;60;20210705;180000;69.0600000;69.1800000;69.0400000;69.1800000;416.770
AFLT;60;20210705;190000;69.1800000;69.1800000;69.0400000;69.0400000;245.450
AFLT;60;20210705;200000;69.0400000;69.1800000;69.0200000;69.1800000;58.580
AFLT;60;20210705;210000;69.1600000;69.3800000;69.1600000;69.3600000;276.330
AFLT;60;20210705;220000;69.3600000;69.3600000;69.2400000;69.2600000;113.490
AFLT;60;20210705;230000;69.2600000;69.3200000;69.2600000;69.3000000;60.710
AFLT;60;20210706;000000;69.3200000;69.4400000;69.2600000;69.3400000;286.170
AFLT;60;20210706;110000;69.4800000;69.6800000;69.2200000;69.3000000;1.225.280
AFLT;60;20210706;120000;69.3200000;69.3400000;68.7200000;69.0000000;1.621.860
AFLT;60;20210706;130000;69.0200000;69.0800000;68.7600000;68.7800000;478.540
AFLT;60;20210706;140000;68.7800000;68.9200000;68.5400000;68.8600000;1.222.970
AFLT;60;20210706;150000;68.8600000;68.9400000;68.7400000;68.8800000;316.620
AFLT;60;20210706;160000;68.8200000;68.9000000;68.2200000;68.2400000;1.360.150
AFLT;60;20210706;170000;68.2200000;68.5000000;68.2200000;68.4200000;781.610
AFLT;60;20210706;180000;68.4800000;68.5600000;68.2400000;68.3600000;1.113.230
AFLT;60;20210706;190000;68.3000000;68.4600000;68.2800000;68.3600000;353.750
AFLT;60;20210706;200000;68.2600000;68.4800000;68.2000000;68.4200000;318.740
AFLT;60;20210706;210000;68.4000000;68.4800000;68.4000000;68.4600000;42.960
AFLT;60;20210706;220000;68.4800000;68.6200000;68.4400000;68.5000000;165.550
AFLT;60;20210706;230000;68.5000000;68.6000000;68.4200000;68.5400000;149.060
AFLT;60;20210707;000000;68.5200000;68.5600000;68.4200000;68.5000000;93.810
AFLT;60;20210707;110000;68.5000000;68.8000000;68.4800000;68.7200000;504.480
AFLT;60;20210707;120000;68.7200000;68.7400000;68.3400000;68.4400000;605.470
AFLT;60;20210707;130000;68.4200000;68.6200000;68.2800000;68.6200000;255.900
AFLT;60;20210707;140000;68.6200000;68.8400000;68.5400000;68.8000000;343.180
AFLT;60;20210707;150000;68.7800000;68.7800000;68.5000000;68.6400000;407.050
AFLT;60;20210707;160000;68.6400000;68.6400000;68.5000000;68.5800000;1.056.260
AFLT;60;20210707;170000;68.5800000;68.6200000;68.3400000;68.4400000;604.100
AFLT;60;20210707;180000;68.4400000;68.5600000;68.3200000;68.5000000;590.440
AFLT;60;20210707;190000;68.5000000;68.5200000;68.3400000;68.4200000;539.030
AFLT;60;20210707;200000;68.5000000;68.5200000;68.0000000;68.3000000;690.040
AFLT;60;20210707;210000;68.3200000;68.3800000;68.2000000;68.3000000;220.640
AFLT;60;20210707;220000;68.3400000;68.3600000;68.2200000;68.3600000;95.680
AFLT;60;20210707;230000;68.3600000;68.3800000;68.3200000;68.3800000;103.050
AFLT;60;20210708;000000;68.3800000;68.4000000;68.3200000;68.3400000;40.770
AFLT;60;20210708;110000;68.2000000;68.4400000;68.0200000;68.0400000;1.001.770
AFLT;60;20210708;120000;68.0600000;68.3600000;67.8400000;68.3400000;1.757.640
AFLT;60;20210708;130000;68.3200000;68.3600000;68.1000000;68.2400000;496.810
AFLT;60;20210708;140000;68.2200000;68.3000000;68.0600000;68.2400000;464.780
AFLT;60;20210708;150000;68.2000000;68.2600000;68.0200000;68.1000000;338.630
AFLT;60;20210708;160000;68.1000000;68.1400000;67.7200000;67.8200000;659.820
AFLT;60;20210708;170000;67.8200000;67.9000000;67.5600000;67.8800000;1.201.330
AFLT;60;20210708;180000;67.9000000;67.9000000;67.6600000;67.8600000;909.530
AFLT;60;20210708;190000;67.8800000;67.9000000;67.8000000;67.8400000;596.020
AFLT;60;20210708;200000;67.8400000;68.1800000;67.6800000;68.1400000;600.360
AFLT;60;20210708;210000;68.1400000;68.4200000;68.0400000;68.3200000;505.370
AFLT;60;20210708;220000;68.3400000;68.7200000;68.3200000;68.4400000;549.890
AFLT;60;20210708;230000;68.5000000;68.6400000;68.4200000;68.6000000;261.060
AFLT;60;20210709;000000;68.6400000;68.6400000;68.4800000;68.5000000;217.220
AFLT;60;20210709;110000;68.6000000;68.7800000;68.4400000;68.4800000;778.960
AFLT;60;20210709;120000;68.5000000;68.6800000;68.4400000;68.6600000;398.230
AFLT;60;20210709;130000;68.6200000;68.6600000;68.4600000;68.4600000;449.040
AFLT;60;20210709;140000;68.4600000;68.5200000;68.1800000;68.4800000;658.990
AFLT;60;20210709;150000;68.4800000;68.7000000;68.4000000;68.7000000;474.550
AFLT;60;20210709;160000;68.7000000;68.7000000;68.6000000;68.6600000;552.250
AFLT;60;20210709;170000;68.6600000;69.1400000;68.6200000;68.9000000;3.269.400
AFLT;60;20210709;180000;68.9200000;69.1000000;68.6800000;68.9400000;578.640
AFLT;60;20210709;190000;68.9400000;68.9800000;68.8000000;68.9000000;596.860
AFLT;60;20210709;200000;68.9000000;69.0000000;68.7400000;68.8000000;91.660
AFLT;60;20210709;210000;68.8200000;68.8800000;68.8000000;68.8400000;54.810
AFLT;60;20210709;220000;68.8000000;68.9000000;68.7600000;68.9000000;116.700
AFLT;60;20210709;230000;68.9000000;68.9000000;68.6600000;68.7800000;115.970
AFLT;60;20210710;000000;68.7800000;68.8000000;68.7000000;68.7400000;95.680
AFLT;60;20210712;110000;68.8600000;68.9600000;68.4000000;68.6400000;1.012.500
AFLT;60;20210712;120000;68.6400000;68.7400000;68.5000000;68.6800000;298.920
AFLT;60;20210712;130000;68.7200000;68.7200000;68.5200000;68.5600000;294.000
AFLT;60;20210712;140000;68.5200000;68.7800000;68.4600000;68.7200000;447.970
AFLT;60;20210712;150000;68.7200000;68.9200000;68.6600000;68.7800000;418.120
AFLT;60;20210712;160000;68.7800000;68.8000000;68.6000000;68.7000000;266.090
AFLT;60;20210712;170000;68.7400000;68.8200000;68.6200000;68.6200000;202.110
AFLT;60;20210712;180000;68.6400000;68.7400000;68.6000000;68.7200000;186.750
AFLT;60;20210712;190000;68.7400000;68.8800000;68.7000000;68.8600000;263.440
AFLT;60;20210712;200000;68.8600000;68.8800000;68.7000000;68.8000000;81.000
AFLT;60;20210712;210000;68.7800000;68.8400000;68.7000000;68.7400000;75.390
AFLT;60;20210712;220000;68.7800000;68.8400000;68.7200000;68.8400000;58.310
AFLT;60;20210712;230000;68.8200000;68.8400000;68.7600000;68.8400000;50.330
AFLT;60;20210713;000000;68.8000000;68.8800000;68.8000000;68.8400000;67.460
AFLT;60;20210713;110000;68.9000000;69.0800000;68.6000000;68.7400000;1.211.460
AFLT;60;20210713;120000;68.7200000;68.7200000;68.2800000;68.3400000;1.239.580
AFLT;60;20210713;130000;68.3600000;68.5600000;68.3200000;68.3200000;578.400
AFLT;60;20210713;140000;68.3200000;68.4000000;68.2200000;68.3200000;640.180
AFLT;60;20210713;150000;68.3200000;68.4000000;68.2600000;68.2800000;408.710
AFLT;60;20210713;160000;68.2800000;68.4000000;68.2400000;68.3400000;310.180
AFLT;60;20210713;170000;68.3200000;68.3600000;68.2400000;68.3200000;433.080
AFLT;60;20210713;180000;68.3200000;68.5200000;68.2600000;68.3600000;377.830
AFLT;60;20210713;190000;68.3600000;68.4000000;68.2000000;68.4000000;629.180
AFLT;60;20210713;200000;68.4800000;68.4800000;68.1800000;68.2800000;145.770
AFLT;60;20210713;210000;68.2800000;68.6800000;68.2400000;68.4200000;364.150
AFLT;60;20210713;220000;68.4200000;68.5200000;68.4000000;68.4600000;54.820
AFLT;60;20210713;230000;68.4600000;68.4800000;68.3000000;68.3200000;56.820
AFLT;60;20210714;000000;68.3800000;68.4200000;68.2800000;68.2800000;32.020
AFLT;60;20210714;110000;68.2400000;68.3600000;67.8200000;67.9200000;1.723.320
AFLT;60;20210714;120000;67.9200000;68.0800000;67.8400000;67.8600000;632.060
AFLT;60;20210714;130000;67.8800000;68.0000000;67.8600000;67.8800000;957.830
AFLT;60;20210714;140000;67.8600000;68.0000000;67.8600000;67.9400000;507.530
AFLT;60;20210714;150000;67.9600000;68.1400000;67.8600000;68.0200000;749.320
AFLT;60;20210714;160000;68.0200000;68.3200000;67.9200000;68.1600000;1.015.200
