<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;30;20210701;103000;281.8800000;283.6600000;281.8800000;283.2000000;5.639.540
GAZP;30;20210701;110000;283.1200000;283.9400000;282.7500000;283.3500000;2.719.770
GAZP;30;20210701;113000;283.3800000;284.4500000;283.3000000;283.9100000;2.720.100
GAZP;30;20210701;120000;283.8900000;285.0300000;283.8200000;284.4800000;3.528.560
GAZP;30;20210701;123000;284.4700000;285.9800000;284.0000000;285.3100000;4.415.080
GAZP;30;20210701;130000;285.3500000;285.7100000;284.7500000;285.3200000;2.452.310
GAZP;30;20210701;133000;285.3100000;285.5100000;284.7100000;285.1500000;1.707.330
GAZP;30;20210701;140000;285.1400000;285.4000000;284.6300000;284.8500000;2.832.800
GAZP;30;20210701;143000;284.8400000;286.2200000;284.7500000;285.4400000;4.282.010
GAZP;30;20210701;150000;285.4400000;286.2500000;285.3000000;286.2000000;2.749.600
GAZP;30;20210701;153000;286.2300000;286.2500000;285.0900000;285.2800000;2.778.980
GAZP;30;20210701;160000;285.2800000;285.6100000;285.0000000;285.4400000;1.390.740
GAZP;30;20210701;163000;285.4500000;285.5500000;285.3200000;285.4800000;748.020
GAZP;30;20210701;170000;285.4600000;285.6200000;284.7000000;284.9000000;2.008.050
GAZP;30;20210701;173000;284.9100000;285.2400000;284.0300000;284.0700000;2.153.230
GAZP;30;20210701;180000;284.0700000;284.1300000;283.6400000;283.9400000;2.417.140
GAZP;30;20210701;183000;283.8900000;284.3900000;283.8000000;284.0500000;1.548.510
GAZP;30;20210701;190000;284.0500000;284.2000000;283.6000000;283.6000000;1.718.170
GAZP;30;20210701;193000;284.0000000;284.2400000;283.5000000;284.0300000;448.270
GAZP;30;20210701;200000;284.0200000;284.3900000;283.9100000;284.3400000;186.680
GAZP;30;20210701;203000;284.2800000;284.8700000;284.1300000;284.7000000;250.300
GAZP;30;20210701;210000;284.7000000;284.9700000;284.7000000;284.8900000;152.980
GAZP;30;20210701;213000;284.8900000;285.3200000;284.7700000;285.3000000;182.350
GAZP;30;20210701;220000;285.2500000;285.7900000;285.0800000;285.7300000;224.570
GAZP;30;20210701;223000;285.7300000;285.9300000;285.6100000;285.6600000;386.830
GAZP;30;20210701;230000;285.6100000;285.8500000;285.5600000;285.7700000;115.340
GAZP;30;20210701;233000;285.7700000;285.8400000;285.5700000;285.7000000;130.220
GAZP;30;20210702;000000;285.6500000;285.7800000;285.5300000;285.7400000;157.870
GAZP;30;20210702;103000;285.7000000;285.9900000;282.8000000;283.0900000;5.778.570
GAZP;30;20210702;110000;283.1000000;284.7800000;282.9200000;284.4100000;3.547.800
GAZP;30;20210702;113000;284.4100000;284.9800000;284.1000000;284.9200000;1.544.010
GAZP;30;20210702;120000;284.8700000;285.2800000;283.5000000;283.6700000;1.719.300
GAZP;30;20210702;123000;283.6200000;284.1500000;283.2000000;283.5100000;1.285.800
GAZP;30;20210702;130000;283.5100000;284.0900000;283.3000000;284.0500000;678.060
GAZP;30;20210702;133000;284.0400000;284.7800000;284.0000000;284.7800000;597.210
GAZP;30;20210702;140000;284.7800000;285.2800000;284.3600000;284.6100000;1.185.570
GAZP;30;20210702;143000;284.6800000;285.2500000;284.5200000;285.2000000;1.198.230
GAZP;30;20210702;150000;285.2200000;285.2800000;285.0000000;285.1100000;644.230
GAZP;30;20210702;153000;285.1300000;285.3900000;285.0600000;285.3200000;395.900
GAZP;30;20210702;160000;285.3200000;286.1900000;285.3100000;285.8300000;2.712.580
GAZP;30;20210702;163000;285.7100000;285.7900000;285.3000000;285.5100000;746.380
GAZP;30;20210702;170000;285.5100000;285.8000000;285.3200000;285.5100000;696.960
GAZP;30;20210702;173000;285.5100000;285.8000000;285.0600000;285.6700000;1.174.770
GAZP;30;20210702;180000;285.6800000;285.9500000;285.5300000;285.6300000;1.128.210
GAZP;30;20210702;183000;285.6600000;285.9500000;285.3300000;285.6100000;1.534.040
GAZP;30;20210702;190000;285.6100000;285.7200000;285.3900000;285.4500000;1.683.220
GAZP;30;20210702;193000;285.6800000;285.8900000;285.4500000;285.6600000;102.030
GAZP;30;20210702;200000;285.6600000;285.8300000;285.6600000;285.8100000;107.300
GAZP;30;20210702;203000;285.7500000;285.8300000;285.6500000;285.6500000;54.370
GAZP;30;20210702;210000;285.6500000;285.8000000;285.6200000;285.7600000;113.370
GAZP;30;20210702;213000;285.7600000;285.8300000;285.6000000;285.6400000;157.000
GAZP;30;20210702;220000;285.7300000;285.8000000;285.6400000;285.7000000;69.930
GAZP;30;20210702;223000;285.7000000;285.7700000;285.6300000;285.7500000;80.550
GAZP;30;20210702;230000;285.7000000;285.7600000;285.6600000;285.7000000;66.050
GAZP;30;20210702;233000;285.7500000;285.7700000;285.6900000;285.7700000;80.930
GAZP;30;20210703;000000;285.7500000;285.8000000;285.6500000;285.6500000;202.800
GAZP;30;20210705;103000;286.0000000;288.3900000;285.7800000;288.0700000;4.900.460
GAZP;30;20210705;110000;288.0700000;288.4700000;287.6100000;288.0800000;2.402.180
GAZP;30;20210705;113000;288.0800000;289.0000000;288.0000000;288.6400000;2.259.940
GAZP;30;20210705;120000;288.6000000;289.0900000;288.4000000;288.5200000;1.560.800
GAZP;30;20210705;123000;288.6000000;289.2800000;288.4100000;288.8500000;1.332.520
GAZP;30;20210705;130000;288.9300000;289.0700000;288.7200000;289.0000000;1.007.950
GAZP;30;20210705;133000;288.9900000;289.4500000;288.7700000;289.1500000;2.682.130
GAZP;30;20210705;140000;289.1500000;289.3700000;288.8000000;288.8700000;1.299.570
GAZP;30;20210705;143000;288.8700000;288.9700000;288.5500000;288.8100000;1.696.890
GAZP;30;20210705;150000;288.8100000;288.8500000;288.6300000;288.6700000;663.130
GAZP;30;20210705;153000;288.6700000;288.9500000;288.6000000;288.8600000;682.680
GAZP;30;20210705;160000;288.8600000;289.0000000;288.6300000;288.7200000;1.317.500
GAZP;30;20210705;163000;288.7100000;288.9800000;288.6000000;288.9700000;1.335.610
GAZP;30;20210705;170000;288.9700000;288.9700000;288.5500000;288.7000000;831.900
GAZP;30;20210705;173000;288.7000000;288.7500000;288.3000000;288.5100000;1.061.660
GAZP;30;20210705;180000;288.5100000;288.9100000;288.3600000;288.9100000;763.670
GAZP;30;20210705;183000;288.9000000;288.9100000;288.2700000;288.6700000;1.679.190
GAZP;30;20210705;190000;288.7000000;289.0000000;288.6300000;288.8800000;1.648.940
GAZP;30;20210705;193000;289.4500000;289.4500000;288.7800000;289.2000000;349.250
GAZP;30;20210705;200000;289.2100000;289.3900000;289.0800000;289.2300000;237.820
GAZP;30;20210705;203000;289.2200000;289.6000000;289.0000000;289.5000000;343.940
GAZP;30;20210705;210000;289.4500000;291.4900000;289.4500000;290.5700000;1.220.110
GAZP;30;20210705;213000;290.5700000;291.0000000;290.1300000;290.7800000;905.700
GAZP;30;20210705;220000;290.7000000;291.4500000;290.7000000;291.1700000;548.140
GAZP;30;20210705;223000;291.2100000;291.3600000;291.0200000;291.2500000;186.420
GAZP;30;20210705;230000;291.2000000;291.2500000;290.6000000;291.0100000;530.290
GAZP;30;20210705;233000;291.0400000;291.2500000;290.9400000;291.2500000;391.940
GAZP;30;20210706;000000;291.2500000;291.2600000;290.8900000;291.1000000;360.690
GAZP;30;20210706;103000;292.0000000;294.0000000;291.3400000;293.5600000;7.326.040
GAZP;30;20210706;110000;293.5600000;294.8300000;292.7000000;294.7600000;5.015.510
GAZP;30;20210706;113000;294.8000000;295.9600000;294.3000000;294.6600000;5.456.960
GAZP;30;20210706;120000;294.6600000;294.7000000;293.8000000;294.6800000;3.105.950
GAZP;30;20210706;123000;294.6700000;294.9800000;294.3200000;294.4800000;2.470.680
GAZP;30;20210706;130000;294.5400000;295.0500000;294.4200000;294.9600000;2.605.020
GAZP;30;20210706;133000;294.9600000;295.0400000;294.6900000;294.9300000;3.520.660
GAZP;30;20210706;140000;294.9100000;295.2800000;294.6000000;294.8600000;5.203.470
GAZP;30;20210706;143000;294.8700000;295.0000000;294.6200000;294.7800000;1.315.010
GAZP;30;20210706;150000;294.8300000;294.8400000;293.7000000;294.5200000;2.804.750
GAZP;30;20210706;153000;294.5200000;294.5900000;294.1600000;294.5000000;776.660
GAZP;30;20210706;160000;294.5000000;295.5500000;294.1500000;295.0900000;2.940.390
GAZP;30;20210706;163000;295.1400000;295.4000000;294.3000000;295.2400000;2.468.970
GAZP;30;20210706;170000;295.2800000;295.9700000;293.9900000;295.7500000;4.842.630
GAZP;30;20210706;173000;295.7400000;295.7600000;294.5000000;295.1100000;5.459.860
GAZP;30;20210706;180000;295.1800000;295.9300000;294.8400000;295.6900000;6.031.750
GAZP;30;20210706;183000;295.7000000;295.7300000;294.2000000;295.0000000;9.384.600
GAZP;30;20210706;190000;294.9000000;295.6000000;294.3400000;295.6000000;4.444.220
GAZP;30;20210706;193000;295.3000000;295.3000000;293.3600000;294.2000000;1.288.960
GAZP;30;20210706;200000;294.2000000;294.5900000;293.6000000;293.7700000;589.560
GAZP;30;20210706;203000;293.7700000;294.5700000;293.6200000;294.3000000;488.830
GAZP;30;20210706;210000;294.2500000;294.5000000;293.8200000;293.9000000;295.850
GAZP;30;20210706;213000;293.9000000;294.3000000;293.4200000;293.4200000;490.970
GAZP;30;20210706;220000;293.4500000;293.6400000;292.1300000;293.4800000;1.113.750
GAZP;30;20210706;223000;293.4500000;294.0000000;293.1100000;293.7900000;457.130
GAZP;30;20210706;230000;293.7900000;293.9000000;293.7000000;293.9000000;104.760
GAZP;30;20210706;233000;293.9000000;294.1800000;293.7000000;294.0000000;144.650
GAZP;30;20210707;000000;294.0000000;294.1000000;293.4100000;293.4500000;197.810
GAZP;30;20210707;103000;293.8500000;296.6000000;293.4700000;296.0000000;9.503.120
GAZP;30;20210707;110000;296.0000000;296.7200000;294.5100000;295.1900000;5.530.800
GAZP;30;20210707;113000;295.1700000;295.4900000;293.8900000;294.2000000;2.337.450
GAZP;30;20210707;120000;294.2500000;294.7800000;293.9200000;294.1400000;1.976.610
GAZP;30;20210707;123000;294.0300000;294.9900000;293.9600000;294.5100000;1.213.130
GAZP;30;20210707;130000;294.5000000;294.8300000;293.8000000;294.3200000;1.756.610
GAZP;30;20210707;133000;294.3400000;294.4900000;294.1600000;294.4000000;721.910
GAZP;30;20210707;140000;294.4100000;295.4800000;294.4100000;295.3200000;2.827.140
GAZP;30;20210707;143000;295.3000000;295.7900000;294.6600000;295.0600000;2.630.280
GAZP;30;20210707;150000;295.0600000;295.6600000;294.8100000;295.1600000;1.268.270
GAZP;30;20210707;153000;295.2000000;295.9900000;294.6200000;295.1700000;5.730.350
GAZP;30;20210707;160000;295.1900000;295.5100000;294.0100000;294.3400000;2.611.700
GAZP;30;20210707;163000;294.3500000;295.2000000;294.2300000;294.5900000;2.722.720
GAZP;30;20210707;170000;294.6000000;295.1700000;294.0200000;294.5600000;3.190.260
GAZP;30;20210707;173000;294.6000000;295.1100000;294.2200000;294.4800000;2.474.430
GAZP;30;20210707;180000;294.4900000;294.9800000;294.3000000;294.8000000;3.624.470
GAZP;30;20210707;183000;294.7700000;296.9200000;294.6500000;296.5500000;7.876.030
GAZP;30;20210707;190000;296.6500000;297.1000000;296.2000000;296.6000000;5.589.400
GAZP;30;20210707;193000;296.3000000;296.9800000;296.1700000;296.6800000;401.840
GAZP;30;20210707;200000;296.6900000;296.7000000;296.4200000;296.6000000;282.620
GAZP;30;20210707;203000;296.6000000;296.6000000;296.3000000;296.4900000;300.240
GAZP;30;20210707;210000;296.4200000;296.5100000;296.1700000;296.2000000;290.750
GAZP;30;20210707;213000;296.1900000;296.5400000;296.0300000;296.4300000;204.440
GAZP;30;20210707;220000;296.4000000;296.7500000;296.3000000;296.7000000;213.880
GAZP;30;20210707;223000;296.7000000;296.7500000;296.5400000;296.7400000;408.920
GAZP;30;20210707;230000;296.7200000;296.8500000;296.5700000;296.6700000;334.630
GAZP;30;20210707;233000;296.7000000;297.2000000;296.6000000;297.1900000;421.240
GAZP;30;20210708;000000;297.1900000;297.4800000;297.1500000;297.3900000;600.470
GAZP;30;20210708;103000;296.4500000;297.0000000;292.2300000;293.7500000;11.168.810
GAZP;30;20210708;110000;293.7300000;294.9800000;293.5000000;293.8800000;4.728.190
GAZP;30;20210708;113000;293.8400000;293.9900000;290.6200000;291.5700000;7.033.120
GAZP;30;20210708;120000;291.5500000;293.8200000;291.3700000;293.2900000;3.521.110
GAZP;30;20210708;123000;293.3000000;293.8700000;292.8100000;293.3200000;3.165.630
GAZP;30;20210708;130000;293.2500000;293.2500000;291.9100000;291.9100000;1.440.390
GAZP;30;20210708;133000;291.9500000;292.5200000;291.7200000;292.0700000;1.248.260
GAZP;30;20210708;140000;292.0100000;292.9100000;292.0000000;292.5800000;1.016.040
GAZP;30;20210708;143000;292.5800000;292.7500000;292.2000000;292.6300000;1.071.150
GAZP;30;20210708;150000;292.6300000;292.6400000;291.9500000;292.0000000;1.221.890
GAZP;30;20210708;153000;292.0100000;292.3700000;291.7500000;291.8100000;1.414.360
GAZP;30;20210708;160000;291.8100000;292.6500000;291.4300000;292.0300000;1.726.380
GAZP;30;20210708;163000;292.0600000;292.4500000;291.5300000;291.6200000;899.500
GAZP;30;20210708;170000;291.6600000;292.4000000;291.6300000;291.9500000;1.460.450
GAZP;30;20210708;173000;291.8600000;291.9500000;290.5000000;291.1700000;2.702.830
GAZP;30;20210708;180000;291.1700000;291.5700000;290.3300000;291.4600000;2.194.260
GAZP;30;20210708;183000;291.4100000;292.0700000;291.0500000;291.4600000;2.132.930
GAZP;30;20210708;190000;291.4600000;292.0000000;291.4100000;291.7400000;1.943.070
GAZP;30;20210708;193000;291.9100000;292.7000000;291.8100000;292.2100000;655.050
GAZP;30;20210708;200000;292.2100000;292.5000000;292.1100000;292.3800000;346.380
GAZP;30;20210708;203000;292.4600000;292.4900000;291.8500000;292.1000000;204.650
GAZP;30;20210708;210000;292.1000000;292.1000000;291.8100000;291.9900000;130.010
GAZP;30;20210708;213000;291.9500000;292.4000000;291.7000000;292.1500000;130.800
GAZP;30;20210708;220000;292.1500000;292.3700000;291.9000000;292.2900000;205.720
GAZP;30;20210708;223000;292.1500000;292.5700000;292.1500000;292.4800000;292.230
GAZP;30;20210708;230000;292.5000000;292.6000000;292.3800000;292.3800000;238.090
GAZP;30;20210708;233000;292.3800000;292.7000000;292.3000000;292.7000000;216.520
GAZP;30;20210709;000000;292.7000000;292.9400000;292.6200000;292.8600000;196.810
GAZP;30;20210709;103000;293.5100000;294.0500000;292.0000000;292.0200000;4.082.460
GAZP;30;20210709;110000;292.0200000;293.4100000;292.0100000;292.9600000;2.614.870
GAZP;30;20210709;113000;292.9600000;295.2400000;292.9600000;294.6200000;4.950.120
GAZP;30;20210709;120000;294.6200000;295.1700000;294.5900000;295.0500000;1.956.170
GAZP;30;20210709;123000;295.0500000;295.1700000;294.6600000;294.7700000;2.102.970
GAZP;30;20210709;130000;294.7700000;295.5000000;294.7200000;295.3300000;1.645.000
GAZP;30;20210709;133000;295.3100000;295.5500000;294.9400000;295.4000000;1.234.360
GAZP;30;20210709;140000;295.3900000;295.5400000;294.6000000;294.8900000;1.692.010
GAZP;30;20210709;143000;294.8900000;295.2500000;294.6300000;294.6700000;1.129.120
GAZP;30;20210709;150000;294.6700000;295.2200000;294.5600000;294.8200000;1.024.660
GAZP;30;20210709;153000;294.8200000;295.0000000;294.4400000;294.6900000;1.344.250
GAZP;30;20210709;160000;294.6800000;294.7900000;294.5000000;294.5300000;767.930
GAZP;30;20210709;163000;294.5300000;294.6000000;294.2500000;294.4100000;1.007.860
GAZP;30;20210709;170000;294.4100000;294.6800000;293.6900000;294.5600000;2.547.440
