,CBOM,GAZP,GMKN,PIKK,LSRG,DSKY,ALRS,CHMF,FLOT
2016-06-30,3.98,139.51,8540.0,250.0,823.0,,69.29,700.7,
2016-07-29,3.98,137.3,9444.0,250.0,907.5,,71.25,793.2,
2016-08-31,4.13,134.95,9571.0,271.8,878.0,,75.3,752.0,
2016-09-30,4.25,134.9,9812.0,292.0,891.0,,86.6,753.0,
2016-10-31,4.275,138.84,9344.0,285.0,879.5,,88.6,886.4,
2016-11-30,4.275,148.8,10371.0,279.0,916.5,,92.49,960.7,
2016-12-30,4.3,154.55,10122.0,290.0,952.0,,97.43,942.2,
2017-01-31,4.262,149.8,9629.0,285.9,1001.0,,105.7,950.0,
2017-02-28,4.231,134.0,9311.0,290.0,952.5,84.93,92.06,827.3,
2017-03-31,4.39,127.9,8929.0,296.6,927.0,88.0,91.01,809.9,
2017-04-28,4.414,136.75,8747.0,288.2,870.0,90.47,98.11,776.0,
2017-05-31,4.24,120.28,7902.0,302.0,906.5,92.39,88.35,738.5,
2017-06-30,4.5,118.49,8068.0,296.9,820.0,93.99,86.55,776.0,
2017-07-31,4.436,116.1,8930.0,292.8,725.0,90.5,83.65,833.7,
2017-08-31,4.58,117.97,9790.0,289.9,779.5,99.9,81.2,910.0,
2017-09-29,4.599,122.2,9920.0,316.3,807.0,102.7,82.3,869.5,
2017-10-31,4.547,125.9,10592.0,311.6,815.0,101.5,75.2,898.3,
2017-11-30,4.35,132.15,9876.0,299.6,796.0,108.8,77.87,924.0,
2017-12-29,4.742,130.5,10850.0,326.5,826.5,95.95,75.06,887.4,
2018-01-31,4.66,143.36,11608.0,306.0,842.0,92.5,81.5,919.1,
2018-02-28,4.734,143.16,11159.0,323.1,859.0,90.5,86.3,918.4,
2018-03-30,4.849,142.33,10760.0,315.2,874.0,96.45,92.0,872.4,
2018-04-30,4.62,145.93,10814.0,306.3,836.0,93.4,89.61,1011.9,
2018-05-31,4.842,145.0,11111.0,329.8,836.5,95.0,88.3,1002.8,
2018-06-29,4.927,141.01,11399.0,334.0,849.5,92.0,100.0,930.1,
2018-07-31,4.944,143.79,10882.0,342.5,774.0,89.8,97.28,1020.3,
2018-08-31,5.0,149.95,11220.0,364.0,721.0,90.0,101.39,1086.1,
2018-09-28,5.049,162.61,11388.0,347.6,676.0,93.0,106.79,1091.3,
2018-10-31,5.028,155.47,11000.0,352.3,629.5,89.5,99.9,1030.0,
2018-11-30,5.195,161.29,12738.0,351.1,639.0,93.5,99.63,1002.7,
2018-12-31,5.17,153.5,13039.0,376.3,597.8,90.44,98.62,942.9,
2019-01-31,5.375,162.82,13596.0,352.0,656.0,90.9,98.56,998.5,
2019-02-28,5.515,158.99,14114.0,359.0,637.4,88.92,95.1,1028.8,
2019-03-29,5.967,149.61,13720.0,353.8,660.0,88.88,92.42,1028.0,
2019-04-30,5.93,163.95,14342.0,365.5,666.0,88.44,94.23,1045.2,
2019-05-31,5.96,215.1,13718.0,368.4,693.2,84.7,88.15,1036.4,
2019-06-28,5.965,232.83,14308.0,374.9,782.2,85.8,86.04,1067.6,
2019-07-31,5.962,236.9,14646.0,395.0,778.8,89.68,81.5,1028.8,
2019-08-30,5.958,232.15,16088.0,387.3,763.4,90.2,74.26,1002.8,
2019-09-30,5.778,225.9,16686.0,400.5,722.0,88.92,74.5,933.2,
2019-10-31,5.772,260.0,17888.0,348.0,709.8,95.9,74.51,882.2,
2019-11-29,5.939,257.54,17046.0,385.7,760.0,94.62,77.9,908.0,
2019-12-31,5.879,256.4,19102.0,400.4,764.0,100.0,84.32,937.6,
2020-01-31,5.778,226.7,20800.0,435.6,905.0,115.04,80.2,911.4,
2020-02-28,5.65,202.65,20250.0,390.9,827.0,111.8,71.39,814.6,
2020-03-31,5.495,181.41,19518.0,410.0,587.0,91.02,64.59,866.6,
2020-04-30,5.45,190.0,20478.0,391.5,604.0,87.8,62.2,889.6,
2020-05-29,5.415,199.95,22110.0,383.9,584.8,99.02,66.0,934.6,
2020-06-30,5.579,194.31,18784.0,425.0,700.8,100.6,64.49,864.0,
2020-07-31,5.944,182.59,19650.0,486.9,734.0,116.9,68.27,912.6,
2020-08-31,5.862,181.01,19394.0,506.2,780.4,116.76,66.15,931.0,
2020-09-30,5.853,169.97,18762.0,568.2,856.2,117.06,73.78,992.0,
2020-10-30,5.442,154.28,18864.0,569.0,904.4,109.74,70.75,1085.0,98.09
2020-11-30,5.975,181.89,21476.0,596.5,907.8,143.6,88.52,1131.8,96.29
2020-12-31,6.152,212.98,23682.0,595.9,867.6,136.2,99.0,1323.2,90.58
2021-01-29,6.155,212.83,24364.0,706.9,942.6,141.24,99.22,1262.8,91.52
2021-02-26,6.694,217.56,23502.0,770.8,862.2,141.92,99.52,1343.6,90.2
2021-03-31,6.994,231.69,23164.0,754.1,856.0,139.4,106.57,1334.4,90.64
